Kidhome,Fruits,AcceptedCmp3,AcceptedCmp1,Spent,Is_Parent
0,88,0,0,1617,0
1,1,0,0,27,1
0,49,0,0,776,0
1,4,0,0,53,1
1,43,0,0,422,1
0,42,0,0,716,1
0,65,0,0,590,1
1,10,0,0,169,1
1,0,0,0,46,1
1,0,1,0,49,1
0,16,0,0,61,0
0,61,0,0,1102,0
1,2,0,0,310,1
0,14,0,0,46,0
0,22,0,1,1315,0
1,5,0,0,96,1
0,5,0,0,317,0
0,80,0,1,1782,1
1,17,0,0,133,1
0,2,0,0,316,0
1,1,0,0,1730,1
0,0,0,0,972,1
0,0,0,0,544,1
0,3,0,0,444,1
0,4,0,0,75,0
1,4,0,0,257,1
1,2,0,0,131,1
0,100,0,0,1672,0
0,4,0,0,30,0
0,17,0,0,318,0
0,0,0,0,120,1
0,12,0,0,302,1
0,34,0,0,1196,0
1,0,0,0,65,1
0,17,0,0,913,1
1,3,0,0,81,1
0,0,0,0,67,1
0,8,1,0,902,0
0,76,0,0,1395,1
1,1,0,0,53,1
0,0,0,0,22,1
1,1,0,0,31,1
0,164,0,0,984,0
0,18,0,0,122,0
1,6,0,0,55,1
1,50,0,0,1319,1
0,19,0,0,507,1
0,37,0,0,1693,0
1,6,0,0,72,1
0,120,1,1,1617,0
1,9,0,0,606,1
0,51,0,0,1957,0
0,35,0,0,1093,0
1,0,0,0,29,1
0,0,0,0,518,1
0,26,0,0,1438,0
1,18,0,0,612,1
0,7,0,0,884,1
0,0,0,0,606,1
0,40,0,0,1076,0
1,3,0,0,34,1
1,0,0,0,11,1
0,14,1,1,1274,1
0,49,0,0,653,1
1,59,0,0,1562,1
0,36,0,0,1253,0
0,107,0,0,863,1
1,6,0,0,661,1
0,10,0,0,65,0
1,1,0,0,13,1
0,111,0,0,1890,0
0,105,1,0,2209,0
0,0,0,0,18,0
0,0,1,0,692,0
1,4,0,0,165,1
1,1,0,0,16,1
1,5,0,0,79,1
0,17,0,0,318,0
0,23,0,0,778,0
1,8,0,0,56,1
1,0,0,0,151,1
0,6,0,1,372,1
0,60,0,0,1366,0
0,9,0,0,194,1
1,2,0,0,32,1
1,2,0,0,43,1
1,3,0,0,45,1
0,0,0,0,606,1
1,2,0,0,63,1
0,26,0,1,978,0
0,46,0,0,410,0
0,1,0,0,72,1
0,1,0,0,55,1
0,172,0,0,1169,1
0,81,0,0,1120,0
0,76,0,0,1097,0
1,3,0,0,29,1
1,1,0,0,187,1
0,106,0,0,910,1
1,3,0,0,145,1
0,194,0,0,850,0
0,115,0,0,969,1
0,17,0,0,1820,0
0,0,0,0,608,1
0,44,0,0,730,0
1,0,0,0,551,1
1,1,0,0,114,1
0,99,0,1,1724,0
1,90,0,0,577,1
1,5,0,0,81,1
1,6,0,0,33,1
0,48,0,0,660,1
1,3,0,0,80,1
2,0,0,0,30,1
1,0,0,0,43,1
0,27,0,1,1135,0
0,33,0,0,559,0
0,133,0,0,1923,0
1,0,0,0,90,1
1,19,0,0,661,1
0,58,0,0,463,1
1,5,0,0,632,1
0,106,0,0,725,0
1,0,0,0,279,1
0,14,0,0,1482,0
1,1,0,0,29,1
2,1,0,0,106,1
1,0,1,0,49,1
1,1,0,0,38,1
0,61,0,0,2077,0
0,0,0,0,1053,1
0,28,0,0,1385,0
0,16,0,0,871,1
1,34,0,0,312,1
0,16,0,0,877,1
1,1,0,0,68,1
1,1,0,0,22,1
2,3,0,0,211,1
0,16,0,0,127,0
0,21,0,0,459,1
0,17,0,0,460,1
0,20,0,0,429,1
1,7,0,0,89,1
0,0,0,0,1021,1
0,26,0,0,1381,0
0,6,0,0,306,1
1,1,0,0,18,1
0,11,0,0,162,1
0,11,0,0,1231,0
2,0,0,0,13,1
0,16,0,0,1706,0
1,3,0,0,121,1
0,12,0,0,1293,0
0,2,0,0,1608,1
2,1,0,0,88,1
0,16,1,0,421,0
0,5,0,0,259,0
0,162,0,0,1117,0
1,10,0,0,89,1
1,3,0,0,36,1
1,4,0,0,57,1
2,7,0,0,148,1
1,0,0,0,93,1
0,0,1,0,119,1
0,71,0,0,1835,1
0,66,0,1,1318,0
1,0,0,0,45,1
2,0,0,0,10,1
0,26,0,1,978,0
0,3,0,0,191,1
1,11,0,0,57,1
0,26,0,0,1033,0
1,1,0,0,66,1
0,9,0,0,43,0
1,1,0,0,50,1
0,0,0,0,39,1
0,0,0,0,608,1
0,30,0,0,1581,0
1,1,0,0,68,1
1,4,1,0,80,1
0,22,0,0,1282,0
1,6,0,0,65,1
1,3,0,0,91,1
1,6,0,0,315,1
1,0,0,0,31,1
0,16,0,0,834,0
0,17,0,0,1600,0
0,189,0,0,1270,0
1,1,1,0,263,1
0,4,0,0,535,1
0,138,0,0,1295,0
0,43,0,0,1150,1
0,29,0,1,1240,0
1,0,0,0,38,1
0,4,1,0,35,0
1,6,1,0,53,1
1,18,0,0,293,1
0,0,0,0,65,1
0,48,1,0,1804,1
0,24,0,0,241,1
0,22,0,0,1101,0
1,0,0,0,264,1
1,0,0,0,541,1
0,10,0,0,1198,0
1,7,0,0,482,1
2,0,0,0,17,1
0,16,0,0,1615,0
0,4,0,0,285,1
1,32,0,0,1135,1
1,11,0,0,114,1
0,10,0,0,1047,0
0,7,0,0,714,1
1,1,0,0,185,1
0,23,0,0,1245,1
1,0,0,0,189,1
0,7,0,0,576,1
0,20,0,0,1103,1
0,86,0,0,1753,0
1,1,0,0,17,1
1,7,0,0,433,1
0,76,0,0,1588,1
1,1,0,0,22,1
0,4,0,0,19,0
0,21,0,0,1117,1
1,9,0,0,69,1
1,0,0,0,23,1
0,5,0,0,605,1
1,3,0,0,57,1
0,0,0,0,22,1
0,61,0,0,2088,0
0,114,0,0,1009,1
1,1,0,0,26,1
0,153,0,1,1627,0
0,0,0,0,1102,1
1,0,0,0,17,1
1,16,0,1,1690,1
0,64,0,0,1390,1
0,134,0,0,2126,0
0,28,0,0,1531,1
1,3,0,0,64,1
1,3,0,0,26,1
0,148,0,1,1112,0
0,47,0,0,210,0
1,28,0,0,1148,1
1,0,0,0,33,1
0,21,0,0,1101,1
0,33,0,0,322,1
1,4,0,0,44,1
2,0,0,0,17,1
1,2,1,0,31,1
0,41,0,0,845,1
1,2,0,0,275,1
1,0,0,0,25,1
1,2,0,0,275,1
1,4,0,0,90,1
0,84,1,0,1495,0
1,2,1,0,184,1
0,74,0,0,981,0
1,7,0,0,67,1
0,44,0,0,1635,0
1,7,0,0,60,1
0,0,0,0,231,1
1,2,0,0,48,1
1,6,0,0,99,1
0,7,0,0,770,1
0,162,0,0,957,0
0,129,0,0,818,0
0,0,0,1,925,0
0,15,0,0,908,1
1,19,0,0,102,1
0,7,0,0,576,1
0,5,0,0,317,0
0,7,0,0,461,1
1,0,0,0,37,1
1,6,0,0,70,1
0,98,0,0,930,0
1,28,0,0,859,1
0,183,0,0,1478,0
0,3,0,0,390,0
0,6,1,0,52,0
1,0,0,0,137,1
0,129,0,0,1919,0
2,3,0,0,68,1
1,1,0,0,25,1
0,0,0,0,1374,1
1,4,0,0,32,1
1,4,0,0,100,1
0,15,0,0,825,0
0,0,0,0,916,1
1,0,0,0,62,1
0,14,0,0,728,1
1,0,0,0,90,1
1,15,0,0,273,1
1,1,0,0,66,1
0,147,0,1,1213,0
0,26,0,0,107,0
0,11,0,0,1157,0
0,0,0,0,546,1
0,2,0,0,241,0
1,5,0,0,53,1
2,0,0,0,37,1
0,44,0,0,1508,0
1,0,0,0,235,1
1,0,0,0,32,1
1,4,0,0,102,1
1,64,0,0,401,1
1,0,0,0,28,1
0,5,0,0,680,1
1,3,0,0,30,1
1,0,0,0,20,1
0,60,0,0,1307,1
0,17,0,0,630,1
0,0,0,0,1283,0
1,2,0,0,65,1
1,1,0,0,37,1
2,0,0,0,38,1
1,7,0,0,160,1
1,1,0,0,23,1
0,2,0,0,71,0
0,11,0,0,1161,1
1,1,1,0,59,1
1,2,0,0,33,1
0,46,0,0,946,1
0,153,0,1,1442,0
1,2,0,0,62,1
0,61,0,0,1674,0
0,144,0,0,1853,0
0,19,0,0,1538,0
0,32,0,0,139,0
0,0,0,0,1182,1
0,14,0,0,507,1
1,6,1,0,18,1
0,34,0,0,940,0
1,0,0,0,42,1
0,104,0,0,1190,0
1,0,0,0,44,1
1,0,1,0,16,1
0,33,0,0,835,1
1,80,1,0,1443,1
0,20,0,0,1029,0
0,91,0,0,1188,0
0,0,0,0,1277,1
1,2,0,0,49,1
0,0,0,0,99,1
0,64,0,0,1670,0
0,17,0,0,900,0
0,15,0,0,425,1
0,163,0,0,2153,0
0,0,0,0,636,1
2,3,0,0,57,1
1,0,0,0,25,1
1,8,0,0,494,1
0,0,0,0,693,1
0,0,0,0,1348,0
1,3,0,0,51,1
0,33,0,0,1932,0
0,0,0,0,990,1
1,4,0,0,30,1
1,4,0,0,254,1
1,1,1,0,29,1
0,12,0,0,1371,1
1,4,0,0,73,1
1,0,0,0,120,1
0,9,1,0,81,0
1,4,0,0,37,1
0,24,0,0,1377,1
1,9,0,0,51,1
2,0,0,0,17,1
1,6,0,0,22,1
0,12,0,0,324,0
2,3,0,0,211,1
1,0,0,0,19,1
1,7,0,0,41,1
0,11,0,0,492,1
0,50,0,0,1005,1
0,0,0,0,114,1
1,21,0,0,1173,1
0,134,0,0,1738,0
1,4,0,0,222,1
0,152,0,0,1127,0
0,9,0,0,209,0
0,35,0,0,787,1
0,0,0,0,1598,0
1,1,0,0,186,1
1,2,0,0,47,1
1,0,0,0,27,1
1,4,0,0,96,1
1,1,0,0,64,1
0,105,0,0,1040,0
1,5,0,0,163,1
0,36,0,0,343,0
1,0,0,0,446,1
1,0,0,0,41,1
1,3,0,0,70,1
1,7,0,0,272,1
1,0,0,0,46,1
0,9,0,0,490,1
1,22,0,0,79,1
0,53,0,0,915,1
0,0,0,1,1485,1
1,44,0,0,369,1
0,34,0,0,1073,1
0,0,0,0,1242,0
1,5,1,0,78,1
0,26,0,1,1378,0
0,114,0,1,1474,0
1,0,0,0,751,1
1,3,0,0,48,1
1,3,0,0,45,1
1,2,0,0,10,1
0,68,0,0,1435,0
0,42,0,0,2119,0
1,0,0,0,20,1
0,137,0,1,1795,0
1,0,0,1,1188,1
1,2,0,0,43,1
0,0,0,0,1008,1
0,16,0,1,1688,0
1,0,0,0,684,1
1,47,0,0,1082,1
0,66,0,0,1068,1
1,0,0,0,57,1
0,0,0,0,46,1
0,35,0,0,733,1
0,4,0,0,467,1
1,0,0,0,122,1
1,11,0,0,36,1
1,4,0,0,34,1
0,28,0,0,156,1
0,1,0,0,14,0
1,4,0,0,37,1
0,6,0,0,34,0
0,0,0,0,20,0
1,14,0,0,192,1
0,190,1,1,1379,0
1,7,0,0,48,1
0,7,0,0,428,1
0,16,0,0,868,1
0,38,0,0,1001,1
1,2,0,0,59,1
1,70,0,0,431,1
0,19,0,0,971,1
1,24,0,0,348,1
0,24,0,1,2059,0
1,11,1,0,265,1
0,15,0,0,270,1
0,96,0,0,1289,0
0,0,0,1,893,1
0,0,0,0,926,0
0,0,0,0,135,1
0,84,1,0,1495,0
1,5,0,0,120,1
0,25,0,0,1288,0
0,17,0,0,1743,0
1,1,0,0,15,1
0,42,0,0,542,1
1,8,0,0,890,1
0,76,0,0,1388,1
1,0,0,0,17,1
1,8,0,0,906,1
1,1,0,0,44,1
1,1,0,0,25,1
0,0,0,0,973,1
1,3,0,0,31,1
0,0,0,0,518,1
0,22,0,0,530,1
1,7,0,0,506,1
1,7,0,0,70,1
1,3,0,0,54,1
1,15,1,0,296,1
0,2,0,0,266,1
0,28,0,0,747,0
0,74,0,0,895,0
0,0,0,0,1053,1
0,12,0,0,735,1
1,0,0,0,20,1
0,1,0,0,205,0
0,19,0,0,2092,1
1,2,0,0,309,1
0,20,0,1,1722,0
0,0,0,0,900,1
0,13,0,0,682,0
0,25,0,0,663,1
0,1,0,0,43,1
0,0,0,0,1816,1
0,0,0,0,976,1
0,14,0,0,746,0
1,2,0,0,64,1
0,0,0,0,32,1
0,36,0,0,263,0
1,0,0,0,1445,1
0,0,0,0,46,1
0,10,0,0,1210,0
0,162,0,0,945,1
0,70,0,0,1157,0
0,4,0,0,137,0
0,138,0,0,730,1
1,1,1,0,216,1
0,83,0,0,943,1
0,17,0,0,347,1
0,92,0,0,1924,0
0,0,0,0,397,1
0,20,0,0,2089,0
1,0,0,0,138,1
1,7,0,0,42,1
0,23,0,0,777,0
0,134,0,1,1902,0
1,1,0,0,52,1
0,73,1,0,1651,0
0,2,0,0,358,0
0,33,0,0,1727,0
1,1,0,0,210,1
1,4,0,0,42,1
0,38,0,0,1291,0
0,15,0,0,442,0
0,155,0,0,1895,0
1,10,0,0,411,1
0,61,0,0,521,1
0,54,0,0,1168,1
1,4,0,0,493,1
1,6,0,0,260,1
1,3,0,0,46,1
0,12,0,0,319,1
0,0,0,0,96,1
0,151,0,0,1062,0
0,4,0,0,232,1
1,3,0,0,76,1
1,9,0,0,54,1
0,10,0,0,201,1
1,3,0,0,406,1
0,19,0,0,1919,0
0,18,0,0,662,1
1,4,0,0,41,1
0,46,0,0,1600,0
1,7,0,0,134,1
1,3,1,0,69,1
1,0,0,0,21,1
1,4,0,0,54,1
1,16,1,0,91,1
0,0,0,0,526,1
0,3,0,0,162,0
0,28,0,0,1008,0
1,17,0,0,240,1
1,85,0,0,795,1
0,129,0,0,1772,0
0,4,0,0,64,0
0,38,0,1,1957,1
1,8,0,0,78,1
0,153,0,0,1572,0
0,25,0,0,795,1
0,129,0,0,889,1
0,18,0,0,331,1
0,2,0,0,265,1
0,10,0,0,1065,1
1,0,0,0,11,1
0,0,0,0,21,1
1,0,0,0,17,1
0,0,0,0,369,1
1,0,0,0,38,1
1,12,0,0,177,1
0,5,0,0,279,1
1,6,0,0,62,1
0,12,0,1,1230,1
1,0,0,0,182,1
1,4,0,0,49,1
1,0,0,0,75,1
1,13,0,0,227,1
1,0,0,0,215,1
0,3,0,0,444,1
1,0,0,0,47,1
0,12,0,0,143,0
1,0,0,0,55,1
1,1,0,0,63,1
0,21,1,1,1867,0
0,47,0,0,611,1
0,4,0,0,473,1
0,9,0,0,55,0
1,0,0,0,81,1
0,183,0,1,2086,0
0,127,0,0,1478,0
1,6,0,0,49,1
0,30,0,0,382,0
1,4,0,0,69,1
1,12,0,0,67,1
1,0,0,0,30,1
1,7,0,0,63,1
1,3,0,0,79,1
0,0,0,0,42,1
0,28,0,0,819,1
0,32,0,0,1151,0
0,16,0,0,594,1
1,3,0,0,129,1
1,10,0,0,213,1
0,0,0,0,67,1
2,1,0,0,28,1
0,4,0,0,45,1
0,0,0,1,1193,0
0,13,0,0,268,0
0,25,0,0,266,0
1,8,0,0,37,1
2,0,0,0,37,1
0,91,0,0,882,0
1,13,0,0,373,1
2,0,0,0,35,1
1,1,0,0,107,1
1,6,0,0,42,1
0,8,0,0,326,1
0,0,0,0,404,1
0,8,0,0,95,0
0,35,0,0,939,0
1,6,0,0,33,1
0,22,0,1,981,0
1,2,0,0,36,1
0,63,0,0,1237,1
0,17,0,0,1825,1
1,18,0,0,103,1
1,5,0,0,191,1
1,107,0,0,1586,1
0,45,0,0,963,0
0,129,0,0,889,1
0,24,1,0,93,0
0,22,0,0,1587,0
2,0,0,0,16,1
0,20,0,0,1375,0
0,103,0,0,393,1
0,69,0,0,1477,1
0,21,1,0,1179,1
0,50,0,0,1005,1
0,66,0,0,1348,0
0,89,0,0,1307,1
0,3,1,0,486,1
0,105,0,0,2252,0
1,2,0,0,235,1
0,181,0,1,1724,0
1,6,0,0,235,1
0,0,0,0,1092,1
0,4,0,0,599,1
0,19,0,0,2008,0
1,0,0,0,48,1
0,80,0,0,1174,1
0,2,0,0,67,1
0,3,0,0,365,1
0,1,0,0,6,0
0,3,0,0,165,1
0,47,0,0,210,0
0,112,0,0,1095,1
1,1,1,0,223,1
0,0,0,0,597,1
1,6,0,0,22,1
0,53,0,0,1064,1
0,2,0,0,74,0
0,1,0,0,26,0
0,1,0,0,60,0
0,0,0,0,20,1
1,10,0,0,59,1
1,0,0,0,34,1
1,16,0,0,198,1
0,61,0,0,1048,1
0,9,0,0,574,1
0,159,0,0,1029,1
0,59,0,0,670,1
0,0,0,0,990,1
2,1,0,0,11,1
0,12,0,1,1241,1
0,81,0,0,576,0
1,4,1,0,172,1
0,32,0,0,664,0
0,23,0,0,928,1
0,134,0,0,2074,0
0,11,0,0,467,0
0,6,0,0,257,1
0,32,0,0,1146,0
0,18,0,0,689,1
0,102,0,0,2114,0
0,16,0,0,1717,0
0,40,0,1,1346,0
0,86,0,0,1044,0
0,0,0,0,493,1
0,0,0,0,957,0
0,15,0,0,270,1
0,0,0,0,29,0
1,1,0,0,121,1
0,4,0,0,126,1
0,2,0,0,23,0
1,1,0,0,57,1
0,11,0,0,636,0
0,22,0,1,1004,0
0,11,0,0,734,1
2,123,0,0,614,1
0,12,1,0,1453,1
0,32,0,1,1621,0
1,19,0,0,187,1
1,80,1,0,1443,1
1,0,0,0,57,1
0,6,0,0,637,1
0,0,1,0,948,1
1,1,1,0,59,1
1,3,0,0,18,1
0,58,0,0,903,1
1,10,0,0,112,1
0,5,0,0,596,0
1,13,0,0,233,1
0,40,0,0,1511,0
0,25,0,0,1152,0
1,4,0,0,48,1
0,81,0,0,1185,1
1,2,0,0,21,1
0,9,0,0,965,1
0,0,0,0,869,0
1,0,0,0,16,1
0,166,0,0,1947,0
1,0,1,0,71,1
0,0,0,0,65,1
0,25,0,1,1380,0
0,142,0,0,1027,0
2,3,0,0,411,1
0,22,0,0,836,0
1,0,0,0,11,1
1,4,0,0,480,1
1,9,0,0,606,1
1,2,0,0,284,1
1,28,0,1,1472,1
0,0,0,1,1677,0
0,79,0,0,1335,1
0,39,0,0,334,1
1,0,0,0,18,1
0,133,0,0,1338,1
0,10,0,0,1099,1
1,2,0,0,97,1
1,1,0,0,63,1
1,11,0,0,109,1
0,26,0,1,902,0
0,31,0,0,1574,0
1,5,0,0,38,1
0,17,0,0,960,0
1,3,1,0,28,1
0,80,1,0,1215,0
